TAXONOMY,Kingdom,Phylum,Class,Order,Family,Genus
ASV461,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV462,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ascidiaceihabitans
ASV463,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulforhopalus
ASV465,Bacteria,Planctomycetes,OM190,NA,NA,NA
ASV468,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,Oceanicoccus
ASV470,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,NA
ASV474,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV475,Bacteria,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,SC103
ASV477,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Desulfuromusa
ASV480,Archaea,Euryarchaeota,Thermoplasmata,Marine_Group_II,NA,NA
ASV481,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,NA
ASV486,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,NA
ASV487,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,NA
ASV488,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA
ASV491,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Phycisphaera
ASV492,Bacteria,Planctomycetes,OM190,NA,NA,NA
ASV493,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Terasakiellaceae,Terasakiella
ASV496,Bacteria,Marinimicrobia_(SAR406_clade),NA,NA,NA,NA
ASV498,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas
ASV499,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV502,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,NA
ASV503,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,NA
ASV514,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group
ASV520,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,NA,NA
ASV521,Bacteria,Planctomycetes,OM190,NA,NA,NA
ASV523,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group
ASV528,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,NA
ASV529,Bacteria,Cloacimonetes,Cloacimonadia,Cloacimonadales,MSBL8,NA
ASV535,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Blastopirellula
ASV543,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aureicoccus
ASV547,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV548,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,PS1_clade,NA
ASV549,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ascidiaceihabitans
ASV550,Bacteria,Planctomycetes,OM190,NA,NA,NA
ASV553,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86_clade,NA,NA
ASV554,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Agaribacter
ASV559,Archaea,Euryarchaeota,Thermoplasmata,Marine_Group_II,NA,NA
ASV560,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,NA
ASV561,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Sphaerochaeta
ASV566,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group
ASV574,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,NA
ASV575,Bacteria,Verrucomicrobia,Verrucomicrobiae,Arctic97B-4_marine_group,NA,NA
ASV576,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Thalassobius
ASV578,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Aestuariibacter
ASV585,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Draconibacterium
ASV586,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,NA,NA
ASV587,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,NA
ASV592,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Draconibacterium
ASV593,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Roseibacillus
ASV594,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,NA
ASV599,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Puniceicoccaceae,MB11C04_marine_group
ASV600,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Denitrovibrio
ASV605,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,NA
ASV610,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV611,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV612,Bacteria,Marinimicrobia_(SAR406_clade),NA,NA,NA,NA
ASV613,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,NA
ASV614,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV615,Bacteria,Bacteroidetes,Rhodothermia,Balneolales,Balneolaceae,Balneola
ASV617,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,NA
ASV618,Bacteria,Marinimicrobia_(SAR406_clade),NA,NA,NA,NA
ASV619,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group
ASV620,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XII,Fusibacter
ASV623,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA
ASV625,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptoclostridium
ASV626,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02
ASV627,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,NA
ASV628,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86_clade,NA,NA
ASV629,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,NA
ASV630,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV633,Bacteria,Planctomycetes,OM190,NA,NA,NA
ASV641,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
ASV647,Bacteria,Kiritimatiellaeota,Kiritimatiellae,Kiritimatiellales,Kiritimatiellaceae,R76-B128
ASV648,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,NA
ASV649,Bacteria,Firmicutes,Clostridia,Clostridiales,Defluviitaleaceae,Defluviitaleaceae_UCG-011
ASV650,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,NA
ASV653,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,NA
ASV654,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,OM27_clade
ASV658,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,ST-12K33,NA
ASV663,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV665,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,Marinifilum
ASV667,Bacteria,Proteobacteria,Deltaproteobacteria,Bradymonadales,NA,NA
ASV668,Bacteria,Planctomycetes,OM190,NA,NA,NA
ASV669,Bacteria,Bacteroidetes,Rhodothermia,Balneolales,Balneolaceae,Balneola
ASV672,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Sediminispirochaeta
ASV678,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,NA
ASV679,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV685,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group
ASV686,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,NA
ASV689,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Crocinitomicaceae,NA
ASV690,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,NA
ASV692,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV707,Bacteria,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,SUP05_cluster
ASV708,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Rubinisphaeraceae,NA
ASV721,Bacteria,Marinimicrobia_(SAR406_clade),NA,NA,NA,NA
ASV726,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Terasakiellaceae,Terasakiella
ASV733,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS7_marine_group,NA
ASV735,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02
ASV738,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,NA
ASV739,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfopila
ASV744,Archaea,Euryarchaeota,Thermoplasmata,Marine_Group_II,NA,NA
ASV745,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,NA
ASV746,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Rubripirellula
ASV747,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Blastopirellula
ASV748,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,NA
ASV749,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,NA
ASV753,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Rhodopirellula
ASV759,Archaea,Euryarchaeota,Thermoplasmata,Marine_Group_II,NA,NA
ASV760,Bacteria,Proteobacteria,Gammaproteobacteria,KI89A_clade,NA,NA
ASV766,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,Carboxylicivirga
ASV775,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,NA
ASV776,Bacteria,Firmicutes,Clostridia,Clostridiales,Defluviitaleaceae,Defluviitaleaceae_UCG-011
ASV778,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Draconibacterium
ASV783,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter
ASV784,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium
ASV795,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax
ASV798,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,DEV007,NA
ASV804,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV805,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996_marine_group
ASV806,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Terasakiellaceae,Terasakiella
ASV807,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum
ASV808,Bacteria,Proteobacteria,Deltaproteobacteria,Bradymonadales,NA,NA
ASV812,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169_marine_group,NA
ASV813,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,NA
ASV822,Archaea,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus
ASV824,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Nitrosomonadaceae,mle1-7
ASV827,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudooceanicola
ASV838,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV839,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
ASV850,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas
ASV853,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,Pseudohongiella
ASV854,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA
ASV855,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,OM27_clade
ASV862,Bacteria,Actinobacteria,Acidimicrobiia,Microtrichales,Ilumatobacteraceae,NA
ASV871,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV872,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,CL500-3
ASV873,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group
ASV887,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,NA
ASV888,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA
ASV889,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax
ASV901,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV902,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Ascidiaceihabitans
ASV903,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,MWH-UniP1_aquatic_group
ASV905,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2
ASV916,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60(NOR5)_clade
ASV917,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Nisaeaceae,OM75_clade
ASV918,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV919,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,CL500-3
ASV920,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,Marinifilum
ASV924,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2
ASV934,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169_marine_group,NA
ASV935,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group
ASV936,Bacteria,Verrucomicrobia,Verrucomicrobiae,Opitutales,Puniceicoccaceae,MB11C04_marine_group
ASV937,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,NA
ASV941,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,NA
ASV942,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Geitlerinemaceae,Geitlerinema_PCC-7105
ASV950,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Formosa
ASV951,Bacteria,Marinimicrobia_(SAR406_clade),NA,NA,NA,NA
ASV952,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Formosa
ASV967,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group
ASV968,Archaea,Euryarchaeota,Thermoplasmata,Marine_Group_II,NA,NA
ASV969,Bacteria,Planctomycetes,Pla3_lineage,NA,NA,NA
ASV970,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV971,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Aestuariivita
ASV984,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Synechococcus_MBIC10613
ASV988,Bacteria,Acidobacteria,Holophagae,Acanthopleuribacterales,Acanthopleuribacteraceae,Acanthopleuribacter
ASV1000,Bacteria,Verrucomicrobia,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,SCGC_AAA164-E04
ASV1001,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella
ASV1002,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,NA
ASV1006,Bacteria,Bacteroidetes,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,NA
ASV1007,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Crocinitomicaceae,NA
ASV1009,Bacteria,Proteobacteria,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,Candidatus_Thiopilula
ASV1021,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,NA
ASV1022,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavicella
ASV1023,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,S25-593,NA
ASV1024,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinilabiliaceae,NA
ASV1028,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquibacter
ASV1029,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prolixibacteraceae,Roseimarinus
ASV1036,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,NA
ASV1037,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,NA
ASV1042,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Phycisphaera
ASV1055,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,OM27_clade
ASV1056,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA
ASV1057,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia
ASV1067,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169_marine_group,NA
ASV1068,Bacteria,Marinimicrobia_(SAR406_clade),NA,NA,NA,NA
ASV1069,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfobacter
ASV1088,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,OM27_clade
ASV1095,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
ASV1108,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS7_marine_group,NA
ASV1109,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group
ASV1110,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV1125,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib
ASV1126,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Synechococcus_CC9902
ASV1127,Bacteria,Proteobacteria,NA,NA,NA,NA
ASV1128,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,OM27_clade
ASV1131,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas
ASV1153,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,NA
ASV1154,Bacteria,Verrucomicrobia,Verrucomicrobiae,Arctic97B-4_marine_group,NA,NA
ASV1155,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,NA
ASV1156,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
ASV1161,Archaea,Nanoarchaeaeota,Woesearchaeia,NA,NA,NA
ASV1164,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,NA
ASV1183,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NA
ASV1184,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV1185,Bacteria,Kiritimatiellaeota,Kiritimatiellae,Kiritimatiellales,Kiritimatiellaceae,R76-B128
ASV1186,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,Amphritea
ASV1191,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,NA
ASV1206,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV1230,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Cyanobium_PCC-6307
ASV1231,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV1232,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Formosa
ASV1233,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,NA
ASV1240,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,ZOR0006
ASV1253,Bacteria,Verrucomicrobia,Verrucomicrobiae,Arctic97B-4_marine_group,NA,NA
ASV1254,Bacteria,Proteobacteria,Deltaproteobacteria,Bradymonadales,NA,NA
ASV1255,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Rubinisphaeraceae,NA
ASV1256,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Rubinisphaeraceae,NA
ASV1262,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,NA
ASV1265,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
ASV1268,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales_vadinBB60_group,NA
ASV1286,Bacteria,Marinimicrobia_(SAR406_clade),NA,NA,NA,NA
ASV1288,Bacteria,Firmicutes,Clostridia,Clostridiales,NA,NA
ASV1295,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,NA,NA
ASV1310,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV1311,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,OM27_clade
ASV1312,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV1313,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,OM27_clade
ASV1314,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,NA
ASV1315,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,NS9_marine_group,NA
ASV1316,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169_marine_group,NA
ASV1317,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,NA
ASV1320,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquibacter
ASV1322,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,CL500-3
ASV1324,Bacteria,Firmicutes,Clostridia,Clostridiales,Family_XIII,NA
ASV1325,Bacteria,Proteobacteria,Alphaproteobacteria,NA,NA,NA
ASV1347,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,NA
ASV1348,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV1349,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV1350,Bacteria,WPS-2,NA,NA,NA,NA
ASV1351,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,NA,NA
ASV1352,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group
ASV1353,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,NA
ASV1354,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,NA
ASV1355,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA
ASV1356,Bacteria,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,OM27_clade
ASV1361,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2
ASV1373,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ia
ASV1374,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Cyanobacteriaceae,Symphothece_PCC-7002
ASV1375,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Synechococcus_CC9902
ASV1376,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Cryomorphaceae,NS10_marine_group
ASV1377,Archaea,Euryarchaeota,Thermoplasmata,Marine_Group_II,NA,NA
ASV1378,Bacteria,Proteobacteria,Deltaproteobacteria,Bradymonadales,NA,NA
ASV1380,Bacteria,Lentisphaerae,Oligosphaeria,P.palmC41,NA,NA
ASV1381,Bacteria,Cyanobacteria,Melainabacteria,Gastranaerophilales,NA,NA
ASV1384,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,NA,NA
ASV1386,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Marinifilaceae,NA
ASV1402,Archaea,Euryarchaeota,Thermoplasmata,Marine_Group_II,NA,NA
ASV1403,Archaea,Euryarchaeota,Thermoplasmata,Marine_Group_II,NA,NA
ASV1404,Archaea,Euryarchaeota,Thermoplasmata,Marine_Group_II,NA,NA
ASV1405,Bacteria,Actinobacteria,Actinobacteria,PeM15,NA,NA
ASV1406,Bacteria,Proteobacteria,Alphaproteobacteria,Parvibaculales,Parvibaculaceae,NA
ASV1407,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group
ASV1408,Bacteria,Planctomycetes,BD7-11,NA,NA,NA
ASV1415,Bacteria,NA,NA,NA,NA,NA
ASV1416,Bacteria,NA,NA,NA,NA,NA
ASV1422,Bacteria,Planctomycetes,OM190,NA,NA,NA
ASV1441,Bacteria,Cyanobacteria,Oxyphotobacteria,Synechococcales,Cyanobiaceae,Synechococcus_CC9902
ASV1442,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Saprospiraceae,NA
ASV1443,Bacteria,Bacteroidetes,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group
ASV1444,Bacteria,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thiomicrospiraceae,NA
ASV1446,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidetes_BD2-2,NA
ASV1451,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Anaeromicrobium
ASV1465,Archaea,Euryarchaeota,Thermoplasmata,Marine_Group_II,NA,NA
ASV1466,Archaea,Euryarchaeota,Thermoplasmata,Marine_Group_II,NA,NA
