Group	enriched	indval	pvalue	freq	total_reads	Kingdom	Phylum	Class	Order	Family	Genus	ASV_ID
ASV89	normoxic	0.766401590457257	0.016	7	304	Archaea	Thermoplasmatota	Thermoplasmata	Marine_Group_II	Order_Marine_Group_II	Order_Marine_Group_II	ASV89
ASV9					2689	Bacteria	Cyanobacteria	Cyanobacteriia	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	ASV9
ASV90	normoxic	0.920382165605096	0.019	6	304	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	SAR116_clade	Family_SAR116_clade	ASV90
ASV91	normoxic	0.805327868852459	0.019	7	300	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_I	Clade_Ib	ASV91
ASV93	normoxic	0.67065868263473	0.023	8	290	Bacteria	Marinimicrobia_(SAR406_clade)	Phylum_Marinimicrobia_(SAR406_clade)	Phylum_Marinimicrobia_(SAR406_clade)	Phylum_Marinimicrobia_(SAR406_clade)	Phylum_Marinimicrobia_(SAR406_clade)	ASV93
ASV94					289	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	MWH-UniP1_aquatic_group	Family_MWH-UniP1_aquatic_group	ASV94
ASV95	normoxic	1	0.021	5	284	Bacteria	Actinobacteriota	Acidimicrobiia	Actinomarinales	Actinomarinaceae	Candidatus_Actinomarina	ASV95
ASV96	normoxic	0.847457627118644	0.019	6	277	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade	ASV96
ASV97					277	Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	Vibrionaceae	Vibrio	ASV97
ASV98					274	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Family_Cryomorphaceae	ASV98
ASV99	hypoxic	1	0.021	3	274	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Nitrincolaceae	Family_Nitrincolaceae	ASV99
